@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "title" STRING
@ATTRIBUTE "artist" STRING
@ATTRIBUTE "genre" STRING
@ATTRIBUTE "category" STRING
@ATTRIBUTE "duration" NUMERIC
@ATTRIBUTE "bitrate" NUMERIC
@ATTRIBUTE "BPM" NUMERIC
9.99E1,7.891E-1,?,8.023E2,1.626E-3,1.359E-1,?,8.3E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.404E-1,-8.122E-3,-4.586E-2,-3.371E-4,4.546E-3,3.17E-2,-1.218E-1,-1.453E-2,4.342E-2,0E0,7.014E-1,1.145E2,5.76E3,7.021E4,5.986E7,Guantanamera,James Last,Instrumental,A,229446,128,118
1.132E2,7.891E-1,?,6.559E2,1.336E-3,1.433E-1,?,9.1E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.86E-1,2.647E-2,-9.129E-3,2.77E-2,-8.66E-2,8.819E-3,-4.933E-2,-2.786E-2,7.178E-3,0E0,7.554E-1,1.211E2,5.199E3,4.284E4,5.241E7,Guantanamera,James Last,Instrumental,A,229446,128,118
1.184E2,8.32E-1,?,6.517E2,1.391E-3,1.282E-1,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.916E-2,6.873E-2,-4.344E-2,-3.61E-2,-1.036E-1,1.173E-1,-1.918E-2,8.566E-2,-1.287E-1,0E0,6.338E-1,1.226E2,5.261E3,1.014E4,4.987E7,Guantanamera,James Last,Instrumental,A,229446,128,118
1.05E2,8.203E-1,?,6.386E2,1.274E-3,1.067E-1,?,9E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.946E-1,-1.366E-1,8.016E-2,-1.036E-1,2.608E-2,-6.116E-2,-5.218E-2,2.448E-2,-2.432E-2,0E0,5.67E-1,1.167E2,5.824E3,1.304E5,6.042E7,Amor De Mis Amores,Sergi Vicente,Instrumental,A,143268,128,148
1.173E2,8.555E-1,?,1.075E3,1.312E-3,1.192E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.173E-2,-1.407E-2,-1.415E-2,-7.291E-2,5.67E-2,5.951E-2,2.353E-2,-8.083E-2,-8.078E-2,0E0,5.508E-1,1.22E2,5.622E3,5.147E4,5.743E7,Amor De Mis Amores,Sergi Vicente,Instrumental,A,143268,128,148
1.275E2,8.945E-1,?,6.266E2,1.019E-3,1.134E-1,?,1.12E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.974E-2,-1.278E-1,7.328E-2,-1.574E-2,5.295E-2,-5.855E-2,4.547E-2,-1.255E-1,-9.914E-2,0E0,4.919E-1,1.278E2,5.37E3,5.346E4,5.182E7,Amor De Mis Amores,Sergi Vicente,Instrumental,A,143268,128,148
1.46E2,9.492E-1,?,7.138E2,1.495E-3,1.316E-1,?,1.15E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.057E-1,5.718E-2,-8.463E-2,-2.419E-1,5.258E-3,-2.343E-1,3.164E-2,-4.392E-3,-5.656E-2,0E0,6.984E-1,1.358E2,5.473E3,-7.507E4,6.028E7,Musica Fantasia,Raul Di Blasio,Instrumental,A,198595,128,195
1.107E2,8.711E-1,?,6.77E2,2.002E-3,1.661E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.596E-1,-1.835E-1,7.507E-3,-1.283E-1,1.017E-2,7.507E-2,-3.974E-2,7.982E-2,-1.834E-2,0E0,9.078E-1,1.189E2,6.133E3,9.41E4,6.485E7,Musica Fantasia,Raul Di Blasio,Instrumental,A,198595,128,195
1.217E2,8.008E-1,?,5.715E2,1.503E-3,1.434E-1,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.112E-2,-9.797E-2,-9.325E-2,1.623E-1,-1.402E-1,-6.399E-2,-7.97E-2,1.393E-1,7.281E-2,0E0,7.864E-1,1.247E2,5.288E3,-6.412E3,5.021E7,Musica Fantasia,Raul Di Blasio,Instrumental,A,198595,128,195
1.08E2,7.227E-1,?,7.197E2,1.59E-3,1.351E-1,?,1.02E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.278E-1,2.936E-1,1.152E-2,-3.92E-2,-1.039E-1,6.34E-2,1.181E-1,-1.104E-1,3.573E-3,0E0,7.101E-1,1.158E2,4.766E3,6.118E4,4.77E7,Spanish Eyes,Antonio De Lucena,Instrumental,A,280986,128,106
