@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "title" STRING
@ATTRIBUTE "artist" STRING
@ATTRIBUTE "genre" STRING
@ATTRIBUTE "category" STRING
@ATTRIBUTE "duration" NUMERIC
@ATTRIBUTE "bitrate" NUMERIC
@ATTRIBUTE "BPM" NUMERIC
1.252E2,7.93E-1,?,8.095E2,1.591E-3,1.454E-1,?,1.1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.46E-1,7.927E-2,-2.65E-2,1.623E-1,-4.732E-2,8.541E-2,-2.196E-2,2.02E-2,1.086E-1,0E0,7.486E-1,1.276E2,4.988E3,2.61E4,4.485E7,Take a look at me now,Inishkea,Instrumental,C,190341,128,174
1.18E2,7.812E-1,?,8.621E2,1.855E-3,1.506E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.801E-2,1.176E-1,-8.543E-2,1.291E-1,-7.829E-2,6.133E-2,-8.392E-2,1.485E-1,4.433E-2,0E0,7.872E-1,1.211E2,4.682E3,2.872E4,4.256E7,Take a look at me now,Inishkea,Instrumental,C,190341,128,174
1.18E2,7.812E-1,?,8.621E2,1.855E-3,1.506E-1,?,9.8E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.801E-2,1.176E-1,-8.543E-2,1.291E-1,-7.829E-2,6.133E-2,-8.392E-2,1.485E-1,4.433E-2,0E0,7.872E-1,1.211E2,4.682E3,2.872E4,4.256E7,Take a look at me now,Inishkea,Instrumental,C,190341,128,174
1.119E2,7.773E-1,?,5.868E2,1.5E-3,1.179E-1,?,9.7E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.295E-1,1.574E-1,3.197E-2,-2.856E-2,-2.313E-1,1.158E-1,1.312E-1,4.633E-2,-1.033E-1,0E0,7.307E-1,1.191E2,5.185E3,5.262E4,4.996E7,Songbird,Inishkea,Instrumental,C,201991,128,193
1.537E2,9.805E-1,?,8.528E2,1.693E-3,1.174E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.189E-1,-2.026E-1,1.513E-1,-1.24E-1,1.453E-1,-1.078E-1,5.763E-2,-1.088E-1,-5.802E-2,0E0,5.614E-1,1.31E2,6.758E3,1.235E4,7.613E7,Songbird,Inishkea,Instrumental,C,201991,128,193
1.051E2,8.672E-1,?,6.134E2,1.37E-3,1.018E-1,?,9.9E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.678E-1,-1.085E-1,8.769E-2,4.41E-2,-1.78E-1,-3.942E-3,-1.429E-1,-2.338E-1,-1.604E-2,0E0,5.546E-1,1.169E2,6.587E3,1.309E5,7.516E7,Songbird,Inishkea,Instrumental,C,201991,128,193
1.232E2,8.477E-1,?,6.485E2,1.213E-3,1.139E-1,?,1.02E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.453E-1,-9.958E-3,8.69E-2,9.4E-2,-5.654E-2,-5.737E-3,-1.642E-2,-5.834E-2,1.051E-1,0E0,5.947E-1,1.234E2,6.077E3,7.757E3,6.246E7,Hey Jude,Caravelli,Instrumental,C,252486,128,166
1.081E2,8.008E-1,?,6.623E2,1.134E-3,1.065E-1,?,9.3E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.263E-1,-1.529E-1,1.541E-2,-4.134E-2,-6.861E-2,5.08E-3,-1.293E-2,-3.343E-2,-6.651E-2,0E0,5.631E-1,1.173E2,5.604E3,6.361E4,5.457E7,Hey Jude,Caravelli,Instrumental,C,252486,128,166
1.087E2,7.734E-1,?,7.054E2,1.21E-3,1.109E-1,?,9.2E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.898E-1,-9.956E-3,-4.896E-2,3.343E-2,9.316E-2,-1.127E-1,-1.666E-2,4.026E-2,6.525E-3,0E0,5.739E-1,1.183E2,5.561E3,5.039E4,5.454E7,Hey Jude,Caravelli,Instrumental,C,252486,128,166
1.265E2,7.773E-1,?,5.788E2,1.658E-3,1.4E-1,?,1.04E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.531E-3,1.565E-1,-9.479E-2,-8.458E-2,1.203E-2,9.993E-2,1.837E-2,5.358E-2,-5.879E-2,0E0,8.068E-1,1.275E2,4.797E3,-1.889E4,4.544E7,Nights in the white satin,Quique Rivero Orquesta,Instrumental,C,278974,128,159
