@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "title" STRING
@ATTRIBUTE "artist" STRING
@ATTRIBUTE "genre" STRING
@ATTRIBUTE "category" STRING
@ATTRIBUTE "duration" NUMERIC
@ATTRIBUTE "bitrate" NUMERIC
@ATTRIBUTE "BPM" NUMERIC
9.19E1,9.297E-1,?,5.953E2,1.692E-3,1.077E-1,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.817E-1,-3.123E-1,1.337E-1,-1.359E-1,6.409E-2,-9.976E-2,-1.232E-1,-4.551E-2,-1.384E-1,0E0,5.796E-1,1.111E2,6.822E3,1.865E5,8.029E7,Cascada,Jesse Cook,Instrumental,D,187363,128,67
1.276E2,8.516E-1,?,7.042E2,1.234E-3,1.186E-1,?,9.3E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.759E-1,1.393E-1,1.232E-1,-9.46E-2,8.882E-2,6.828E-2,-4.132E-2,6.912E-2,-7.091E-2,0E0,6.131E-1,1.299E2,4.816E3,2.284E4,4.589E7,Cascada,Jesse Cook,Instrumental,D,187363,128,67
1.146E2,8.047E-1,?,5.878E2,8.018E-4,6.553E-2,?,9.3E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.595E-2,1.623E-1,1.077E-1,-9.749E-2,-7.538E-3,2.902E-2,6.993E-2,1.221E-1,5.421E-3,0E0,3.99E-1,1.222E2,5.187E3,6.686E4,5.249E7,Cascada,Jesse Cook,Instrumental,D,187363,128,67
1.014E2,8.047E-1,?,6.852E2,1.581E-3,1.183E-1,?,9.6E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.321E-1,-6.411E-2,6.048E-2,8.673E-2,3.26E-2,3.522E-2,-1.196E-1,8.714E-2,-4.025E-2,0E0,6.77E-1,1.137E2,5.371E3,1.18E5,5.252E7,Jeux interdits,Nicolas de Angelis,Instrumental,D,168424,128,50
1.265E2,9.102E-1,?,6.839E2,1.031E-3,1.173E-1,?,1.01E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-4.653E-2,-1.326E-2,8.413E-2,2.857E-2,3.908E-2,4.695E-2,-9.67E-2,7.672E-2,4.104E-2,0E0,5.732E-1,1.257E2,6.183E3,3.793E4,6.432E7,Jeux interdits,Nicolas de Angelis,Instrumental,D,168424,128,50
1.496E2,8.867E-1,?,7.489E2,1.322E-3,1.255E-1,?,1.19E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.536E-1,-9.852E-2,5.848E-2,-1.03E-2,-1.4E-1,1.266E-1,9.229E-2,7.117E-2,5.979E-2,0E0,5.937E-1,1.387E2,5.776E3,-8.364E4,5.737E7,Jeux interdits,Nicolas de Angelis,Instrumental,D,168424,128,50
1.168E2,7.344E-1,?,5.933E2,1.116E-3,8.053E-2,?,9.2E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.934E-1,1.378E-1,-1.222E-1,-1.36E-1,8.32E-2,9.6E-2,4.027E-2,-9.653E-3,1.807E-2,0E0,4.913E-1,1.214E2,5.094E3,2.518E4,4.906E7,Concerto La Madrugue,Richard Clayderman,Instrumental,D,196140,128,60
1.14E2,7.695E-1,?,7.481E2,1.012E-3,9.113E-2,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.327E-1,1.126E-1,-1.199E-1,6.434E-2,-1.852E-1,1.164E-1,1.302E-2,5.683E-2,-6.153E-2,0E0,4.217E-1,1.178E2,4.942E3,8.819E3,4.299E7,Concerto La Madrugue,Richard Clayderman,Instrumental,D,196140,128,60
9.428E1,7.617E-1,?,9.77E2,8.315E-4,7.686E-2,?,8.1E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.655E-1,-7.932E-2,2.749E-2,-2.297E-1,-1.18E-1,-1.384E-2,-5.742E-2,-7.273E-2,1.144E-2,0E0,3.178E-1,1.12E2,6.083E3,1.012E5,6.645E7,Concerto La Madrugue,Richard Clayderman,Instrumental,D,196140,128,60
1.308E2,7.852E-1,?,7.279E2,1.677E-3,1.592E-1,?,9.9E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.754E-2,-5.211E-2,-1.956E-1,2.907E-2,-7.383E-2,1.561E-2,1.098E-2,3.823E-2,5.897E-2,0E0,7.654E-1,1.304E2,5.055E3,-5.698E4,4.743E7,Annie's Song,The Bruno Bertone Orchestra,Instrumental,D,163670,128,40
